filepath,dataset,speaker_id,actor_gender,native_label,canonical_label,native_intensity,canonical_intensity,duration_sec
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-01-01-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.3032916666666665
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-01-02-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.3366666666666664
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-02-01-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.2699166666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-02-02-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.1698333333333335
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-01-01-01.wav,ravdess,1,male,calm,neutral,normal,low,3.5368541666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-01-02-01.wav,ravdess,1,male,calm,neutral,normal,low,3.6035833333333334
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-02-01-01.wav,ravdess,1,male,calm,neutral,normal,low,3.5035
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-02-02-01.wav,ravdess,1,male,calm,neutral,normal,low,3.4701458333333335
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-01-01-01.wav,ravdess,1,male,calm,neutral,strong,high,3.703708333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-01-02-01.wav,ravdess,1,male,calm,neutral,strong,high,4.004
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-02-01-01.wav,ravdess,1,male,calm,neutral,strong,high,4.204208333333334
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-02-02-01.wav,ravdess,1,male,calm,neutral,strong,high,4.004
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-01-01-01.wav,ravdess,1,male,happy,happy,normal,low,3.4701458333333335
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-01-02-01.wav,ravdess,1,male,happy,happy,normal,low,3.470125
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-02-01-01.wav,ravdess,1,male,happy,happy,normal,low,3.5368541666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-02-02-01.wav,ravdess,1,male,happy,happy,normal,low,3.703708333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-01-01-01.wav,ravdess,1,male,happy,happy,strong,high,3.6703333333333332
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-01-02-01.wav,ravdess,1,male,happy,happy,strong,high,3.6369583333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-02-01-01.wav,ravdess,1,male,happy,happy,strong,high,3.93725
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-02-02-01.wav,ravdess,1,male,happy,happy,strong,high,3.9372708333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-01-01-01.wav,ravdess,1,male,sad,sad,normal,low,3.8371666666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-01-02-01.wav,ravdess,1,male,sad,sad,normal,low,3.5702291666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-02-01-01.wav,ravdess,1,male,sad,sad,normal,low,3.5035
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-02-02-01.wav,ravdess,1,male,sad,sad,normal,low,3.370041666666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-01-01-01.wav,ravdess,1,male,sad,sad,strong,high,3.8037916666666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-01-02-01.wav,ravdess,1,male,sad,sad,strong,high,3.703708333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-02-01-01.wav,ravdess,1,male,sad,sad,strong,high,3.7370833333333335
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-02-02-02-01.wav,ravdess,1,male,sad,sad,strong,high,3.7370625
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-01-01-01.wav,ravdess,1,male,angry,angry,normal,low,3.8705416666666665
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-01-02-01.wav,ravdess,1,male,angry,angry,normal,low,3.9372708333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-02-01-01.wav,ravdess,1,male,angry,angry,normal,low,3.5035
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-01-02-02-01.wav,ravdess,1,male,angry,angry,normal,low,3.7370625
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-01-01-01.wav,ravdess,1,male,angry,angry,strong,high,4.104104166666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-01-02-01.wav,ravdess,1,male,angry,angry,strong,high,4.371041666666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-02-01-01.wav,ravdess,1,male,angry,angry,strong,high,4.137458333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-05-02-02-02-01.wav,ravdess,1,male,angry,angry,strong,high,4.437770833333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-01-01-01.wav,ravdess,1,male,fear,fear,normal,low,3.6703333333333332
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-01-02-01.wav,ravdess,1,male,fear,fear,normal,low,3.636979166666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-02-01-01.wav,ravdess,1,male,fear,fear,normal,low,3.4367708333333336
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-01-02-02-01.wav,ravdess,1,male,fear,fear,normal,low,3.7036875
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-01-01-01.wav,ravdess,1,male,fear,fear,strong,high,5.005
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-01-02-01.wav,ravdess,1,male,fear,fear,strong,high,4.2375625
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-02-01-01.wav,ravdess,1,male,fear,fear,strong,high,3.970625
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-06-02-02-02-01.wav,ravdess,1,male,fear,fear,strong,high,3.9039166666666665
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-01-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.8705208333333334
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-01-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.9038958333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-02-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.9038958333333333
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-01-02-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.8371666666666666
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-01-01-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.304291666666667
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-07-02-01-02-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.104104166666667
