filepath,dataset,speaker_id,actor_gender,native_label,canonical_label,native_intensity,canonical_intensity,duration_sec,split
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-01-01-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.3032916666666665,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-01-02-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.3366666666666664,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-02-01-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.2699166666666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-01-01-02-02-01.wav,ravdess,1,male,neutral,neutral,normal,low,3.169833333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-01-01-01.wav,ravdess,1,male,calm,neutral,normal,low,3.536854166666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-01-02-01.wav,ravdess,1,male,calm,neutral,normal,low,3.603583333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-02-01-01.wav,ravdess,1,male,calm,neutral,normal,low,3.5035,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-01-02-02-01.wav,ravdess,1,male,calm,neutral,normal,low,3.470145833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-01-01-01.wav,ravdess,1,male,calm,neutral,strong,high,3.703708333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-01-02-01.wav,ravdess,1,male,calm,neutral,strong,high,4.004,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-02-01-01.wav,ravdess,1,male,calm,neutral,strong,high,4.204208333333334,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-02-02-02-02-01.wav,ravdess,1,male,calm,neutral,strong,high,4.004,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-01-01-01.wav,ravdess,1,male,happy,happy,normal,low,3.470145833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-01-02-01.wav,ravdess,1,male,happy,happy,normal,low,3.470125,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-02-01-01.wav,ravdess,1,male,happy,happy,normal,low,3.536854166666666,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-01-02-02-01.wav,ravdess,1,male,happy,happy,normal,low,3.703708333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-01-01-01.wav,ravdess,1,male,happy,happy,strong,high,3.670333333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-01-02-01.wav,ravdess,1,male,happy,happy,strong,high,3.636958333333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-02-01-01.wav,ravdess,1,male,happy,happy,strong,high,3.93725,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-03-02-02-02-01.wav,ravdess,1,male,happy,happy,strong,high,3.937270833333333,train
D:\CodeStuff\EMOTION-AI-RESEARCH\audio\datasets\ravdess\Actor_01\03-01-04-01-01-01-01.wav,ravdess,1,male,sad,sad,normal,low,3.8371666666666666,train
